1, 14, 2, 14, 12, 2, 9, 6
1, 14, 2, 12, 14, 2, 9, 6
14, 1, 12, 2, 14, 2, 9, 6
1, 14, 2, 12, 14, 2, 9, 6
12, 14, 14, 2, 1, 2, 6, 9
1, 14, 2, 14, 2, 12, 9, 6
1, 14, 2, 12, 14, 2, 9, 6
14, 1, 2, 14, 12, 2, 9, 6
1, 14, 12, 2, 14, 2, 9, 6
14, 1, 2, 14, 2, 12, 9, 6
14, 1, 2, 12, 2, 14, 9, 6
14, 1, 2, 14, 2, 12, 9, 6
12, 1, 14, 2, 14, 9, 6, 2
1, 12, 14, 2, 14, 9, 2, 6
1, 14, 2, 12, 2, 14, 6, 9
1, 14, 12, 2, 14, 2, 9, 6
1, 14, 2, 2, 14, 12, 6, 9
1, 14, 2, 2, 14, 12, 9, 6
1, 14, 2, 14, 12, 2, 6, 9
1, 14, 2, 14, 2, 12, 9, 6
12, 9, 1, 6, 14, 14, 2, 2
12, 1, 14, 2, 14, 6, 9, 2
1, 14, 12, 2, 14, 2, 6, 9
1, 14, 12, 2, 14, 2, 6, 9
1, 14, 2, 2, 14, 12, 6, 9
14, 1, 2, 12, 2, 14, 6, 9
14, 1, 2, 12, 14, 2, 9, 6
1, 2, 14, 14, 2, 12, 9, 6
1, 14, 2, 2, 14, 12, 6, 9
12, 1, 14, 2, 14, 9, 6, 2
1, 14, 12, 2, 2, 14, 9, 6
1, 14, 2, 12, 14, 2, 9, 6
1, 14, 2, 2, 14, 12, 6, 9
1, 14, 2, 14, 12, 2, 9, 6
1, 14, 2, 2, 12, 14, 9, 6
1, 14, 12, 2, 14, 2, 9, 6
1, 14, 2, 12, 14, 9, 2, 6
12, 9, 1, 14, 2, 6, 14, 2
1, 14, 2, 14, 2, 12, 6, 9
1, 14, 12, 2, 14, 2, 6, 9
1, 14, 2, 14, 2, 12, 9, 6
1, 14, 14, 12, 2, 2, 9, 6
1, 14, 2, 12, 2, 14, 9, 6
14, 1, 2, 14, 2, 12, 9, 6
1, 14, 12, 2, 14, 9, 2, 6
1, 14, 12, 2, 14, 2, 9, 6
1, 14, 12, 14, 2, 2, 9, 6
1, 14, 14, 12, 2, 2, 9, 6
1, 14, 2, 14, 12, 2, 9, 6
1, 12, 14, 14, 2, 2, 6, 9
1, 12, 14, 2, 14, 9, 2, 6
1, 14, 12, 14, 9, 2, 2, 6
14, 1, 2, 14, 12, 2, 9, 6
1, 14, 12, 2, 9, 2, 14, 6
1, 12, 14, 2, 14, 9, 2, 6
1, 2, 12, 14, 14, 2, 9, 6
1, 14, 2, 12, 14, 2, 9, 6
1, 14, 14, 2, 12, 2, 6, 9
1, 14, 14, 12, 2, 2, 9, 6
1, 14, 12, 2, 9, 14, 2, 6
14, 2, 1, 2, 14, 12, 9, 6
12, 2, 14, 1, 14, 2, 6, 9
1, 14, 2, 2, 14, 12, 9, 6
1, 14, 14, 12, 2, 2, 6, 9
1, 14, 12, 2, 14, 2, 9, 6
1, 14, 2, 14, 2, 12, 9, 6
1, 14, 2, 14, 12, 2, 6, 9
1, 14, 14, 12, 2, 9, 2, 6
1, 12, 14, 9, 14, 2, 6, 2
1, 14, 2, 14, 2, 12, 9, 6
1, 12, 14, 14, 9, 2, 6, 2
1, 14, 2, 2, 14, 12, 9, 6
12, 1, 14, 14, 2, 9, 2, 6
1, 14, 12, 2, 2, 14, 9, 6
1, 14, 2, 2, 14, 12, 9, 6
1, 14, 2, 14, 2, 12, 9, 6
1, 12, 14, 2, 14, 2, 6, 9
1, 12, 14, 14, 2, 2, 6, 9
1, 14, 2, 2, 14, 12, 9, 6
1, 14, 2, 2, 12, 14, 6, 9
14, 1, 2, 2, 14, 12, 9, 6
1, 14, 2, 2, 14, 12, 6, 9
1, 14, 12, 2, 14, 2, 9, 6
1, 14, 2, 14, 2, 12, 6, 9
12, 1, 14, 9, 6, 14, 2, 2
1, 14, 2, 14, 12, 2, 9, 6
1, 14, 14, 2, 12, 2, 6, 9
1, 14, 2, 2, 14, 12, 9, 6
1, 14, 2, 14, 12, 2, 9, 6
1, 14, 14, 2, 12, 2, 9, 6
1, 14, 12, 2, 2, 14, 9, 6
1, 14, 12, 2, 14, 9, 2, 6
14, 1, 2, 2, 12, 14, 6, 9
1, 14, 12, 9, 2, 2, 6, 14
1, 14, 12, 2, 14, 2, 9, 6
12, 1, 2, 14, 14, 9, 6, 2
1, 14, 12, 2, 2, 14, 9, 6
