(18, 7), (21, 0), (55, 6), (74, 0), (112, 4), (145, 2), (178, 5), (201, 0), (208, 4), (248, 3), (295, 5)
(1, 0), (45, 4), (87, 6), (104, 7), (108, 0), (129, 0), (195, 5), (208, 3), (227, 4), (258, 2), (295, 5)
(8, 0), (10, 6), (34, 0), (41, 7), (109, 5), (111, 4), (154, 3), (177, 4), (194, 2), (264, 5), (293, 0)
(7, 0), (9, 6), (19, 7), (24, 4), (47, 0), (144, 4), (165, 3), (166, 2), (192, 5), (239, 0), (297, 5)
(13, 7), (32, 0), (97, 6), (119, 0), (136, 5), (149, 4), (170, 0), (173, 2), (198, 3), (243, 4), (287, 5)
(8, 6), (26, 0), (39, 7), (64, 0), (93, 4), (146, 5), (202, 4), (215, 3), (218, 0), (222, 2), (252, 5)
(8, 4), (30, 0), (81, 0), (113, 5), (132, 6), (149, 7), (153, 0), (232, 3), (247, 5), (248, 4), (266, 2)
(1, 4), (15, 0), (88, 0), (90, 7), (93, 6), (113, 0), (189, 5), (197, 3), (245, 4), (261, 2), (292, 5)
(74, 4), (93, 0), (101, 7), (108, 0), (162, 5), (167, 6), (212, 0), (267, 3), (268, 4), (272, 5), (285, 2)
(47, 0), (129, 7), (134, 0), (137, 6), (178, 5), (191, 0), (227, 4), (243, 4), (260, 2), (283, 3), (292, 5)
(12, 0), (88, 6), (107, 5), (109, 7), (133, 0), (182, 3), (204, 0), (261, 5), (272, 4), (292, 2), (296, 4)
(55, 0), (77, 0), (94, 7), (113, 4), (141, 5), (157, 6), (172, 0), (261, 5), (264, 4), (283, 3), (287, 2)
(72, 7), (83, 4), (114, 0), (180, 6), (188, 5), (195, 0), (221, 4), (250, 0), (252, 2), (287, 3), (289, 5)
(2, 0), (48, 0), (66, 6), (119, 0), (125, 7), (185, 5), (197, 4), (218, 3), (228, 4), (257, 2), (284, 5)
(44, 4), (94, 6), (110, 7), (113, 0), (125, 0), (127, 0), (176, 5), (205, 3), (230, 4), (261, 2), (286, 5)
(27, 7), (32, 0), (94, 0), (144, 5), (146, 4), (170, 6), (188, 0), (226, 4), (253, 5), (256, 2), (265, 3)
