(12, 0), (27, 7), (45, 0), (97, 6), (113, 0), (169, 5), (197, 4), (221, 2), (250, 3), (282, 4), (298, 5)
(66, 0), (69, 7), (152, 5), (160, 6), (180, 0), (206, 4), (217, 4), (236, 2), (251, 0), (286, 5), (295, 3)
(21, 4), (22, 0), (25, 7), (129, 6), (152, 0), (184, 4), (190, 5), (214, 2), (250, 3), (255, 0), (297, 5)
(5, 6), (7, 7), (32, 0), (36, 4), (58, 0), (122, 4), (122, 5), (140, 2), (200, 3), (248, 5), (291, 0)
(20, 7), (89, 6), (121, 0), (129, 0), (170, 0), (178, 4), (195, 4), (196, 5), (197, 2), (252, 3), (298, 5)
(14, 0), (41, 7), (73, 0), (121, 6), (165, 0), (190, 5), (224, 4), (226, 4), (257, 2), (280, 3), (288, 5)
(8, 4), (19, 7), (78, 0), (98, 0), (161, 6), (163, 5), (190, 0), (235, 4), (260, 2), (291, 3), (293, 5)
(14, 0), (35, 6), (47, 7), (62, 0), (162, 4), (184, 2), (189, 5), (209, 4), (231, 3), (249, 0), (295, 5)
(3, 7), (53, 0), (102, 6), (116, 0), (154, 5), (202, 4), (225, 2), (226, 0), (278, 5), (290, 3), (298, 4)
(63, 7), (83, 0), (87, 0), (155, 5), (165, 4), (167, 6), (192, 0), (236, 4), (259, 2), (294, 5), (299, 3)
(6, 0), (70, 0), (100, 7), (123, 6), (152, 4), (169, 0), (169, 5), (224, 4), (253, 2), (286, 5), (296, 3)
(11, 7), (39, 0), (55, 0), (76, 4), (76, 6), (92, 0), (126, 4), (155, 2), (189, 5), (270, 3), (290, 5)
(36, 0), (38, 7), (40, 0), (49, 4), (62, 6), (111, 0), (132, 5), (136, 4), (166, 2), (235, 3), (275, 5)
(21, 0), (36, 7), (107, 5), (146, 6), (194, 0), (222, 4), (225, 4), (230, 5), (254, 2), (256, 0), (297, 3)
(41, 0), (70, 6), (92, 0), (103, 4), (108, 7), (156, 5), (182, 0), (202, 4), (232, 2), (276, 3), (298, 5)
(18, 7), (32, 0), (59, 6), (79, 0), (94, 0), (138, 4), (167, 2), (176, 4), (178, 5), (264, 3), (296, 5)
(67, 0), (110, 0), (132, 6), (133, 4), (137, 7), (137, 5), (147, 0), (239, 5), (244, 4), (273, 2), (297, 3)
