"Time","Event"
74,11
163,72
235,27
247,55
275,1
280,12
308,62
318,52
319,50
319,22
325,17
325,47
328,72
333,33
337,48
354,80
357,49
358,23
365,16
369,81
389,53
393,56
404,15
412,64
424,52
429,82
443,73
473,45
479,47
494,79
500,38
544,20
558,73
573,84
595,63
774,20
826,23
69,11
157,72
220,45
236,79
258,84
268,80
300,73
304,62
304,73
310,82
316,27
321,63
321,23
325,64
332,16
332,47
333,53
333,12
335,20
339,48
340,17
350,56
358,72
363,20
374,23
392,50
392,33
398,47
398,52
402,15
411,52
420,55
432,38
433,49
450,81
511,1
528,22
52,70
136,78
171,61
284,45
292,4
294,45
302,64
304,24
305,47
305,68
308,37
313,39
324,47
335,61
348,58
352,56
356,36
362,30
370,79
375,84
382,82
384,28
399,19
403,26
406,23
407,1
420,14
422,32
437,3
447,18
527,57
539,4
693,23
73,35
186,23
279,66
304,2
311,64
314,39
331,32
346,47
347,67
347,58
351,7
351,22
357,30
368,14
377,51
380,61
381,24
386,37
389,82
394,63
399,68
400,70
421,73
439,83
446,74
450,48
471,16
475,64
476,58
481,57
530,26
543,10
548,23
558,75
583,40
588,44
591,46
605,56
610,62
628,47
654,19
680,2
737,27
752,66
763,72
859,61
921,21
119,80
188,38
259,3
296,15
307,54
311,16
319,8
337,68
357,23
357,12
361,83
386,67
390,57
391,19
394,64
417,65
443,21
446,4
448,31
502,11
522,30
523,52
525,26
574,83
595,66
638,13
663,68
715,46
761,63
835,65
850,55
898,80
907,44
917,36
925,29
947,15
1029,9
1046,75
1095,10
63,64
104,49
118,23
155,70
222,7
244,38
263,65
268,12
271,59
272,7
277,59
282,82
286,66
287,58
305,84
306,18
326,8
328,57
328,78
340,46
340,37
343,28
357,16
362,64
370,20
386,81
397,41
400,6
417,71
425,83
433,57
443,75
468,17
480,8
481,40
520,8
526,15
529,4
546,5
585,7
40,80
73,47
182,70
256,24
288,35
308,28
312,81
314,39
328,22
331,44
333,26
341,74
345,24
346,49
356,63
365,7
368,1
380,22
408,2
411,42
418,74
422,68
429,33
432,37
435,60
448,12
459,33
478,27
526,20
528,67
555,63
607,16
609,18
610,64
617,14
666,52
670,11
672,84
675,59
683,74
736,73
739,48
753,9
756,55
822,64
873,26
76,80
138,38
250,15
284,9
313,44
319,10
341,64
342,52
369,3
376,23
385,65
387,83
395,68
402,13
414,19
416,57
418,54
462,67
