"Time","Event"
56,58
164,26
254,63
305,49
371,29
479,63
562,24
641,30
650,22
735,59
840,5
936,9
1051,77
1123,49
1189,69
1240,62
1347,10
1477,17
1546,28
1649,74
1702,66
1733,79
1838,28
1891,61
1933,81
2052,66
2174,12
2260,35
2269,65
2355,59
2451,42
2488,2
2568,80
2592,55
2597,61
2658,42
2709,21
2817,59
2876,8
2938,25
3031,37
44,48
105,77
154,13
154,72
243,17
322,49
387,19
414,57
473,53
578,42
619,49
687,31
807,26
913,66
972,12
1047,55
1196,82
1242,67
1347,47
1400,23
1468,1
1581,78
1683,60
1747,63
1795,23
1869,29
1941,65
1973,83
2115,77
2157,52
2185,84
2240,16
2295,71
2368,29
2468,45
2531,16
2648,54
2718,65
2801,14
2908,35
2991,24
148,59
280,47
308,49
310,40
355,37
440,7
473,55
564,43
622,32
717,39
779,81
908,5
971,34
1077,70
1166,3
1177,77
1310,23
1367,69
1405,48
1506,44
1536,43
1558,48
1649,53
1745,20
1836,40
1941,49
2014,21
2128,77
2217,66
2312,1
2352,56
2433,31
2523,20
2642,81
98,64
177,18
266,69
269,19
310,55
419,29
509,11
557,66
628,53
701,25
768,84
804,59
925,8
977,4
1122,21
1172,62
1275,3
1362,42
1415,57
1464,63
1516,76
1610,82
1618,29
1685,43
1704,69
1794,49
1835,66
1868,0
1972,64
2004,67
2126,19
2228,21
2313,43
2405,61
2526,25
2630,34
2660,19
84,10
223,50
337,72
349,64
378,75
486,72
535,29
640,72
761,37
835,22
858,30
908,58
989,77
1092,28
1118,84
1174,50
1189,53
1243,51
1292,7
1425,19
1467,52
1529,46
1622,27
1679,26
1820,81
1884,31
1972,4
2006,75
2046,10
2146,42
2250,60
2261,18
2299,41
2404,31
2480,58
46,49
116,33
195,73
255,35
390,38
470,2
504,52
567,78
609,49
683,70
738,50
811,4
893,39
990,43
1054,35
1155,29
1207,2
1332,0
1431,40
1512,15
1549,33
1585,30
1619,48
1631,7
1725,23
1765,11
1881,39
1992,56
2083,39
2091,3
2187,82
2310,19
2366,36
2425,51
2521,54
2549,62
2640,77
2739,77
2761,62
8,70
113,78
200,61
200,36
281,47
395,61
520,30
586,37
704,84
718,45
852,64
984,26
1100,4
1249,23
1381,47
1460,56
1559,82
1616,28
1659,14
1751,79
1779,58
1844,19
