(40, 7), (47, 1), (60, 7), (103, 1), (156, 0), (214, 3), (233, 3), (249, 8)
(41, 7), (78, 7), (84, 0), (104, 1), (121, 3), (187, 3), (277, 8), (295, 1)
(50, 7), (78, 7), (95, 1), (106, 0), (163, 1), (178, 3), (195, 8), (273, 3)
(42, 7), (51, 1), (85, 7), (101, 8), (148, 0), (230, 3), (260, 3), (298, 1)
(7, 8), (34, 7), (56, 7), (100, 0), (171, 1), (207, 3), (217, 1), (235, 3)
(2, 8), (24, 0), (40, 7), (80, 7), (163, 3), (180, 3), (222, 1), (298, 1)
(78, 0), (136, 7), (148, 3), (180, 7), (219, 1), (253, 3), (278, 8), (290, 1)
(27, 1), (53, 7), (70, 1), (90, 7), (119, 0), (214, 8), (231, 3), (262, 3)
(13, 1), (115, 0), (135, 7), (152, 7), (156, 3), (176, 3), (232, 8), (264, 1)
(100, 1), (107, 7), (145, 7), (166, 0), (184, 8), (202, 1), (212, 3), (232, 3)
(48, 1), (50, 7), (74, 0), (92, 7), (106, 8), (120, 1), (210, 3), (252, 3)
(10, 0), (39, 7), (77, 7), (85, 1), (160, 3), (185, 8), (195, 3), (227, 1)
(42, 7), (54, 0), (62, 7), (142, 8), (196, 1), (218, 1), (235, 3), (291, 3)
(8, 8), (37, 7), (82, 7), (98, 1), (109, 0), (156, 3), (212, 3), (275, 1)
(18, 1), (85, 8), (89, 7), (114, 7), (168, 0), (241, 3), (258, 1), (287, 3)
(13, 1), (19, 0), (59, 7), (87, 7), (92, 1), (108, 8), (129, 3), (263, 3)
(7, 7), (37, 7), (72, 0), (133, 1), (179, 3), (213, 8), (246, 1), (260, 3)
(17, 7), (22, 1), (42, 0), (51, 7), (139, 3), (163, 3), (229, 8), (289, 1)
(96, 0), (125, 1), (138, 7), (159, 3), (180, 8), (184, 7), (266, 1), (280, 3)
(39, 0), (42, 1), (60, 7), (83, 7), (99, 1), (202, 3), (214, 8), (214, 3)
(16, 7), (35, 7), (135, 0), (137, 1), (171, 8), (192, 3), (220, 3), (275, 1)
(52, 8), (112, 7), (113, 1), (159, 7), (160, 1), (178, 0), (250, 3), (275, 3)
(8, 7), (39, 7), (93, 0), (209, 3), (224, 8), (233, 1), (257, 1), (292, 3)
(7, 7), (32, 0), (41, 7), (71, 1), (112, 3), (208, 8), (210, 3), (287, 1)
(42, 1), (56, 0), (63, 1), (71, 7), (86, 7), (130, 8), (172, 3), (296, 3)
(33, 7), (34, 1), (84, 7), (116, 1), (130, 8), (233, 0), (274, 3), (276, 3)
(37, 1), (91, 8), (127, 1), (132, 0), (138, 7), (155, 7), (185, 3), (266, 3)
(4, 7), (55, 7), (91, 8), (93, 0), (159, 1), (181, 3), (233, 3), (269, 1)
(98, 8), (110, 7), (112, 0), (154, 7), (193, 3), (233, 1), (256, 3), (291, 1)
(10, 1), (110, 8), (119, 0), (143, 7), (147, 1), (166, 7), (255, 3), (284, 3)
(44, 8), (89, 7), (103, 1), (117, 7), (188, 1), (207, 0), (275, 3), (290, 3)
(5, 1), (62, 1), (64, 8), (68, 7), (85, 7), (170, 0), (214, 3), (254, 3)
(36, 0), (95, 7), (142, 7), (146, 8), (188, 3), (208, 3), (284, 1), (290, 1)
(3, 7), (21, 1), (43, 7), (79, 0), (100, 1), (192, 3), (246, 8), (277, 3)
(19, 7), (24, 0), (67, 7), (89, 8), (101, 1), (181, 3), (267, 3), (272, 1)
(67, 7), (95, 7), (100, 0), (116, 1), (122, 8), (195, 3), (241, 1), (283, 3)
(42, 7), (73, 7), (74, 0), (143, 1), (143, 3), (168, 1), (234, 8), (262, 3)
(73, 0), (81, 1), (122, 7), (145, 7), (185, 3), (196, 8), (198, 1), (214, 3)
(72, 1), (82, 7), (129, 7), (160, 8), (197, 1), (221, 0), (292, 3), (294, 3)
(6, 8), (18, 1), (28, 7), (67, 7), (147, 1), (159, 0), (199, 3), (248, 3)
(19, 0), (29, 1), (68, 8), (89, 1), (103, 7), (142, 7), (205, 3), (280, 3)
(39, 0), (63, 7), (84, 7), (163, 3), (178, 3), (252, 8), (282, 1), (286, 1)
(6, 0), (38, 1), (107, 7), (128, 7), (140, 1), (198, 3), (295, 8), (298, 3)
(29, 1), (72, 8), (113, 7), (135, 7), (185, 0), (230, 3), (234, 1), (277, 3)
(26, 7), (67, 7), (74, 1), (212, 0), (241, 8), (254, 3), (263, 3), (278, 1)
(4, 1), (44, 7), (88, 7), (111, 0), (172, 8), (182, 1), (183, 3), (257, 3)
(140, 7), (166, 0), (176, 1), (192, 7), (241, 1), (248, 3), (277, 8), (286, 3)
(84, 1), (99, 1), (147, 7), (192, 7), (215, 0), (247, 8), (257, 3), (286, 3)
(5, 1), (80, 1), (128, 7), (144, 7), (158, 0), (232, 3), (283, 8), (293, 3)
(53, 1), (108, 7), (119, 1), (138, 7), (232, 0), (248, 8), (279, 3), (285, 3)
(21, 1), (45, 0), (135, 7), (154, 8), (165, 7), (170, 1), (196, 3), (292, 3)
(34, 1), (92, 0), (94, 7), (138, 7), (160, 1), (228, 3), (289, 3), (293, 8)
(48, 7), (70, 7), (76, 0), (116, 1), (121, 8), (163, 3), (194, 3), (240, 1)
(31, 7), (49, 7), (144, 1), (148, 8), (192, 0), (238, 3), (273, 3), (291, 1)
(83, 0), (99, 7), (149, 7), (205, 3), (219, 1), (252, 1), (258, 3), (293, 8)
(29, 0), (47, 7), (91, 1), (95, 7), (123, 1), (125, 3), (193, 8), (212, 3)
(66, 7), (94, 0), (94, 7), (140, 8), (154, 1), (170, 1), (241, 3), (242, 3)
(96, 7), (122, 7), (202, 0), (245, 1), (247, 8), (250, 3), (253, 3), (261, 1)
(73, 8), (93, 7), (111, 7), (126, 0), (146, 1), (170, 3), (194, 1), (297, 3)
(36, 0), (72, 7), (74, 8), (91, 7), (149, 3), (153, 3), (249, 1), (250, 1)
(25, 7), (58, 1), (58, 1), (69, 7), (88, 8), (132, 0), (249, 3), (251, 3)
(11, 7), (36, 8), (41, 1), (60, 7), (169, 0), (201, 3), (232, 3), (292, 1)
(53, 7), (53, 1), (104, 7), (135, 1), (190, 0), (205, 8), (246, 3), (254, 3)
(7, 7), (22, 7), (162, 0), (176, 1), (203, 3), (264, 3), (279, 8), (287, 1)
(21, 1), (50, 8), (51, 7), (102, 7), (141, 0), (240, 3), (255, 3), (281, 1)
(15, 0), (40, 8), (87, 7), (111, 7), (134, 3), (157, 1), (199, 1), (229, 3)
(3, 7), (23, 1), (54, 7), (188, 8), (202, 0), (244, 3), (289, 3), (291, 1)
(18, 8), (64, 1), (65, 7), (77, 0), (110, 3), (113, 7), (208, 1), (213, 3)
(35, 7), (65, 7), (68, 8), (101, 0), (120, 1), (239, 3), (270, 1), (287, 3)
(59, 8), (76, 1), (81, 7), (130, 7), (234, 0), (264, 1), (276, 3), (293, 3)
(11, 7), (14, 1), (58, 7), (122, 1), (183, 0), (224, 3), (225, 3), (263, 8)
(29, 1), (45, 7), (61, 0), (86, 7), (86, 1), (92, 8), (156, 3), (214, 3)
(2, 1), (44, 7), (50, 1), (69, 0), (79, 7), (173, 3), (237, 3), (285, 8)
(38, 7), (45, 0), (76, 7), (108, 3), (142, 8), (164, 1), (174, 3), (178, 1)
(57, 1), (58, 1), (68, 0), (92, 7), (124, 7), (139, 8), (168, 3), (233, 3)
(75, 7), (92, 7), (117, 1), (166, 8), (226, 0), (236, 1), (280, 3), (285, 3)
(103, 0), (133, 1), (138, 7), (164, 1), (180, 7), (204, 3), (277, 3), (298, 8)
(86, 7), (122, 7), (123, 0), (149, 1), (185, 3), (255, 8), (261, 3), (271, 1)
(26, 0), (92, 3), (126, 7), (135, 1), (136, 1), (177, 7), (193, 8), (200, 3)
(0, 0), (20, 1), (45, 1), (70, 7), (116, 7), (142, 3), (145, 3), (167, 8)
(64, 7), (104, 1), (111, 7), (152, 1), (184, 0), (226, 3), (287, 3), (288, 8)
(37, 7), (82, 7), (108, 0), (110, 1), (132, 8), (168, 3), (201, 1), (243, 3)
(35, 1), (74, 7), (87, 1), (96, 0), (98, 7), (207, 8), (220, 3), (278, 3)
(0, 7), (36, 7), (47, 0), (116, 1), (123, 3), (170, 3), (230, 8), (271, 1)
(85, 0), (105, 1), (123, 3), (133, 7), (147, 7), (174, 3), (177, 1), (297, 8)
(24, 8), (26, 0), (65, 3), (84, 7), (117, 7), (157, 1), (159, 1), (189, 3)
(61, 1), (96, 8), (141, 7), (185, 7), (202, 1), (224, 0), (283, 3), (284, 3)
(43, 1), (82, 0), (114, 1), (117, 7), (148, 8), (155, 7), (190, 3), (233, 3)
(13, 1), (98, 1), (127, 7), (164, 7), (247, 0), (288, 8), (294, 3), (297, 3)
(43, 0), (54, 1), (103, 7), (139, 8), (150, 7), (166, 3), (193, 3), (243, 1)
(142, 7), (190, 7), (227, 1), (242, 0), (262, 8), (284, 3), (297, 3), (298, 1)
(45, 0), (53, 7), (88, 1), (93, 7), (184, 1), (212, 8), (213, 3), (283, 3)
(1, 7), (17, 7), (23, 0), (104, 3), (211, 1), (245, 1), (280, 3), (285, 8)
(66, 1), (77, 1), (98, 8), (108, 0), (143, 7), (159, 7), (259, 3), (260, 3)
(43, 7), (83, 7), (89, 1), (121, 8), (202, 1), (224, 0), (273, 3), (284, 3)
(4, 1), (26, 7), (59, 7), (99, 1), (117, 0), (145, 8), (161, 3), (186, 3)
(75, 7), (105, 7), (140, 0), (157, 1), (197, 3), (222, 3), (232, 8), (294, 1)
(62, 0), (93, 7), (108, 7), (150, 3), (167, 1), (192, 3), (200, 1), (249, 8)
(3, 7), (49, 7), (62, 1), (139, 0), (146, 1), (226, 3), (275, 8), (287, 3)
(128, 8), (131, 7), (160, 1), (162, 7), (167, 1), (193, 0), (247, 3), (260, 3)
(0, 1), (6, 1), (15, 8), (58, 7), (90, 7), (210, 0), (268, 3), (279, 3)
(58, 1), (76, 0), (118, 7), (149, 1), (168, 7), (171, 3), (212, 3), (216, 8)
(39, 8), (141, 7), (156, 1), (158, 0), (172, 7), (263, 3), (284, 1), (293, 3)
(1, 7), (31, 0), (43, 7), (109, 1), (118, 3), (149, 3), (172, 1), (282, 8)
(12, 7), (26, 1), (35, 7), (101, 8), (118, 0), (167, 3), (174, 1), (197, 3)
(26, 0), (136, 7), (164, 7), (169, 1), (192, 3), (217, 3), (237, 1), (271, 8)
(7, 0), (28, 7), (50, 7), (51, 1), (78, 3), (125, 3), (276, 8), (293, 1)
(0, 8), (40, 7), (56, 7), (137, 0), (144, 1), (208, 3), (224, 1), (296, 3)
(34, 7), (49, 7), (53, 8), (90, 1), (103, 0), (130, 1), (148, 3), (198, 3)
(33, 7), (58, 7), (119, 0), (159, 8), (175, 1), (231, 1), (241, 3), (279, 3)
(17, 8), (21, 0), (83, 7), (97, 1), (123, 7), (132, 3), (140, 1), (202, 3)
(6, 7), (47, 7), (65, 1), (87, 8), (144, 0), (196, 3), (240, 1), (293, 3)
(7, 7), (22, 7), (61, 1), (111, 0), (209, 3), (222, 8), (277, 3), (296, 1)
(77, 1), (110, 8), (142, 7), (160, 0), (175, 7), (240, 3), (254, 3), (278, 1)
(84, 0), (147, 7), (152, 1), (170, 7), (185, 8), (210, 1), (251, 3), (276, 3)
